symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
BTCUSDT,LONG,2024-01-12 14:02:00,2024-01-12 14:05:00,45672.4,45690.7,45782.1,0,0.33,0.18,0.07,3,TP
BTCUSDT,LONG,2024-01-12 16:57:00,2024-01-12 16:58:00,43406.2,43423.6,43510.4,0,0.39,0.18,0.09,1,TP
BTCUSDT,SHORT,2024-01-12 20:35:00,2024-01-12 20:52:00,43919.6,43897.6,43809.8,0,0.4,0.18,0.09,17,TP
BTCUSDT,LONG,2024-01-12 21:32:00,2024-01-12 21:46:00,43368.6,43385.9,43472.7,3,1.56,0.1802,0.35,14,TP
BTCUSDT,SHORT,2024-01-14 09:54:00,2024-01-14 10:49:00,43010.2,42988.7,42902.7,0,0.39,0.1799,0.09,55,TP
BTCUSDT,LONG,2024-01-14 12:21:00,2024-01-14 12:30:00,42729.5,42746.6,42832.1,0,0.38,0.18,0.09,9,TP
BTCUSDT,SHORT,2024-01-15 22:39:00,2024-01-15 22:51:00,42741.2,42719.8,42634.4,0,0.38,0.18,0.09,12,TP
BTCUSDT,LONG,2024-01-16 09:46:00,2024-01-16 09:55:00,42934.0,42955.5,43041.4,0,0.39,0.1801,0.09,9,TP
BTCUSDT,LONG,2024-01-16 10:01:00,2024-01-16 11:59:00,42811.5,42828.6,42914.3,1,0.77,0.18,0.17,118,TP
BTCUSDT,LONG,2024-01-16 13:23:00,2024-01-16 14:31:00,42827.6,42844.7,42930.4,3,1.54,0.1802,0.34,68,TP
BTCUSDT,LONG,2024-01-16 14:37:00,2024-01-16 14:49:00,42224.7,42241.6,42326.1,6,2.66,0.18,0.59,12,TP
BTCUSDT,SHORT,2024-01-16 15:01:00,2024-01-16 15:02:00,42842.8,42825.7,42740.0,0,0.39,0.1801,0.09,1,TP
BTCUSDT,SHORT,2024-01-16 15:16:00,2024-01-16 15:46:00,43137.2,43119.9,43033.7,13,5.44,0.18,1.21,30,TP
BTCUSDT,SHORT,2024-01-16 15:55:00,2024-01-16 16:06:00,43348.7,43331.4,43244.7,2,1.17,0.1801,0.26,11,TP
BTCUSDT,LONG,2024-01-16 22:16:00,2024-01-17 10:42:00,42756.8,42776.0,42861.6,74,28.87,0.18,6.41,746,TP
BTCUSDT,LONG,2024-01-17 14:38:00,2024-01-17 14:40:00,42395.0,42416.2,42501.0,0,0.38,0.18,0.08,2,TP
BTCUSDT,SHORT,2024-01-17 19:24:00,2024-01-17 20:55:00,42758.3,42741.2,42655.7,1,0.77,0.1801,0.17,91,TP
BTCUSDT,SHORT,2024-01-17 21:16:00,2024-01-17 21:32:00,42802.9,42785.8,42700.2,0,0.39,0.1801,0.09,16,TP
BTCUSDT,LONG,2024-01-19 01:04:00,2024-01-19 01:52:00,41208.3,41228.9,41311.4,0,0.37,0.1801,0.08,48,TP
BTCUSDT,SHORT,2024-01-19 15:18:00,2024-01-19 15:19:00,41151.3,41130.7,41048.4,0,0.37,0.1799,0.08,1,TP
BTCUSDT,LONG,2024-01-19 15:28:00,2024-01-19 15:37:00,40810.6,40826.9,40908.6,0,0.37,0.18,0.08,9,TP
BTCUSDT,LONG,2024-01-19 20:52:00,2024-01-19 22:57:00,41639.1,41655.8,41739.1,7,3.0,0.18,0.67,125,TP
BTCUSDT,LONG,2024-01-20 00:20:00,2024-01-20 00:27:00,41537.1,41557.9,41641.0,0,0.37,0.1802,0.08,7,TP
BTCUSDT,LONG,2024-01-20 00:34:00,2024-01-20 01:11:00,41528.5,41545.1,41628.2,0,0.37,0.1801,0.08,37,TP
BTCUSDT,LONG,2024-01-21 06:19:00,2024-01-21 07:34:00,41558.5,41579.3,41662.5,0,0.37,0.18,0.08,75,TP
BTCUSDT,LONG,2024-01-22 04:52:00,2024-01-22 05:15:00,40781.1,40798.4,40880.0,3,1.47,0.1801,0.33,23,TP
BTCUSDT,SHORT,2024-01-22 11:32:00,2024-01-22 11:36:00,40911.4,40895.0,40813.2,0,0.37,0.18,0.08,4,TP
BTCUSDT,LONG,2024-01-22 16:12:00,2024-01-22 16:41:00,40481.8,40500.0,40581.0,1,0.73,0.18,0.16,29,TP
BTCUSDT,SHORT,2024-01-22 17:11:00,2024-01-22 18:06:00,40741.8,40725.5,40644.0,1,0.73,0.1799,0.16,55,TP
BTCUSDT,SHORT,2024-01-22 20:43:00,2024-01-22 20:51:00,40280.2,40264.1,40183.6,0,0.36,0.18,0.08,8,TP
BTCUSDT,LONG,2024-01-23 08:24:00,2024-01-23 09:46:00,39156.3,39172.1,39250.4,35,12.68,0.1799,2.82,82,TP
BTCUSDT,LONG,2024-01-23 11:40:00,2024-01-23 11:59:00,38750.6,38766.1,38843.6,1,0.7,0.1801,0.16,19,TP
BTCUSDT,SHORT,2024-01-23 12:05:00,2024-01-23 12:13:00,38970.7,38955.1,38877.2,0,0.35,0.1799,0.08,8,TP
BTCUSDT,LONG,2024-01-23 16:11:00,2024-01-23 16:27:00,39004.4,39023.9,39101.9,0,0.35,0.18,0.08,16,TP
BTCUSDT,SHORT,2024-01-23 18:03:00,2024-01-23 18:05:00,39544.9,39529.1,39450.0,0,0.36,0.18,0.08,2,TP
BTCUSDT,SHORT,2024-01-23 23:01:00,2024-01-24 01:12:00,40038.9,40021.7,39941.7,27,10.09,0.1799,2.24,131,TP
BTCUSDT,LONG,2024-01-24 01:18:00,2024-01-24 02:22:00,39778.0,39793.9,39873.5,2,1.08,0.1802,0.24,64,TP
BTCUSDT,LONG,2024-01-24 08:31:00,2024-01-24 08:49:00,39870.9,39890.8,39970.6,0,0.36,0.1802,0.08,18,TP
BTCUSDT,LONG,2024-01-24 11:14:00,2024-01-24 12:05:00,40160.0,40176.1,40256.5,0,0.36,0.1799,0.08,51,TP
BTCUSDT,LONG,2024-01-24 13:16:00,2024-01-24 13:21:00,39967.1,39983.1,40063.1,0,0.36,0.1802,0.08,5,TP
BTCUSDT,SHORT,2024-01-24 21:44:00,2024-01-25 01:36:00,40066.5,40050.1,39970.0,11,4.32,0.1798,0.96,232,TP
BTCUSDT,SHORT,2024-01-25 03:40:00,2024-01-25 03:55:00,40080.8,40064.8,39984.7,0,0.36,0.1798,0.08,15,TP
BTCUSDT,SHORT,2024-01-25 11:09:00,2024-01-25 12:14:00,40196.1,40178.0,40097.6,1,0.72,0.1799,0.16,65,TP
BTCUSDT,SHORT,2024-01-25 14:31:00,2024-01-25 14:43:00,40047.9,40031.9,39951.8,0,0.36,0.18,0.08,12,TP
BTCUSDT,SHORT,2024-01-25 17:27:00,2024-01-25 18:32:00,39925.0,39909.0,39829.2,5,2.15,0.1799,0.48,65,TP
BTCUSDT,LONG,2024-01-25 20:17:00,2024-01-25 20:59:00,39737.2,39754.1,39833.6,3,1.43,0.18,0.32,42,TP
BTCUSDT,LONG,2024-01-26 12:43:00,2024-01-26 14:06:00,41017.2,41034.3,41116.4,5,2.22,0.1802,0.49,83,TP
BTCUSDT,SHORT,2024-01-26 15:05:00,2024-01-26 15:08:00,41486.8,41470.2,41387.3,0,0.37,0.1801,0.08,3,TP
BTCUSDT,LONG,2024-01-26 15:25:00,2024-01-26 15:57:00,41281.1,41297.6,41380.2,0,0.37,0.1802,0.08,32,TP
BTCUSDT,SHORT,2024-01-26 17:40:00,2024-01-26 18:14:00,42041.3,42024.5,41940.5,2,1.14,0.18,0.25,34,TP
BTCUSDT,SHORT,2024-01-26 20:02:00,2024-01-26 20:19:00,42153.6,42136.7,42052.4,1,0.76,0.1799,0.17,17,TP
BTCUSDT,LONG,2024-01-27 11:27:00,2024-01-27 12:33:00,41682.5,41703.3,41786.7,0,0.38,0.1801,0.08,66,TP
BTCUSDT,LONG,2024-01-28 22:35:00,2024-01-28 22:57:00,41738.5,41757.3,41840.8,1,0.75,0.18,0.17,22,TP
BTCUSDT,LONG,2024-01-29 13:49:00,2024-01-29 14:04:00,41935.9,41956.9,42040.8,0,0.38,0.1801,0.08,15,TP
BTCUSDT,SHORT,2024-01-29 23:37:00,2024-01-30 00:07:00,43234.2,43214.7,43128.3,1,0.78,0.1798,0.17,30,TP
BTCUSDT,SHORT,2024-01-30 02:37:00,2024-01-30 03:01:00,43676.5,43659.0,43571.7,0,0.39,0.1798,0.09,24,TP
BTCUSDT,LONG,2024-01-30 03:28:00,2024-01-30 08:24:00,43317.6,43338.2,43424.9,3,1.56,0.1801,0.35,296,TP
BTCUSDT,LONG,2024-01-31 01:46:00,2024-01-31 01:53:00,42712.1,42733.5,42819.0,0,0.38,0.1799,0.09,7,TP
BTCUSDT,SHORT,2024-01-31 11:53:00,2024-01-31 13:09:00,42627.3,42606.0,42520.8,0,0.38,0.1799,0.09,76,TP
BTCUSDT,LONG,2024-01-31 19:11:00,2024-01-31 19:35:00,43145.4,43162.7,43249.0,6,2.72,0.18,0.6,24,TP
BTCUSDT,SHORT,2024-01-31 19:42:00,2024-01-31 19:48:00,43435.3,43417.9,43331.1,1,0.78,0.1801,0.17,6,TP
BTCUSDT,SHORT,2024-02-01 02:13:00,2024-02-01 03:17:00,42122.2,42101.1,42016.9,0,0.38,0.1798,0.08,64,TP
BTCUSDT,LONG,2024-02-01 09:46:00,2024-02-01 10:15:00,42130.9,42152.0,42236.3,0,0.38,0.18,0.08,29,TP
BTCUSDT,SHORT,2024-02-01 10:21:00,2024-02-01 11:46:00,42257.1,42240.2,42155.7,0,0.38,0.1801,0.08,85,TP
BTCUSDT,LONG,2024-02-01 11:52:00,2024-02-01 12:12:00,42024.5,42041.3,42125.4,1,0.76,0.1801,0.17,20,TP
BTCUSDT,SHORT,2024-02-01 19:31:00,2024-02-01 19:33:00,42948.9,42927.4,42841.5,0,0.39,0.18,0.09,2,TP
BTCUSDT,LONG,2024-02-02 02:25:00,2024-02-02 05:49:00,42978.8,42998.1,43084.1,1,0.77,0.18,0.17,204,TP
BTCUSDT,SHORT,2024-02-02 10:57:00,2024-02-02 13:16:00,43124.9,43103.3,43017.1,0,0.39,0.1798,0.09,139,TP
